0-4,05-Sep,Oct-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80+
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.8
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.8,0.8
0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.8,0.8,0.8
0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.8,0.8,0.8,0.8
0,0,0,0,0,0,0,0,0,0,0,0.75,0.8,0.8,0.8,0.8,0.8
0,0,0,0,0,0,0,0,0,0,0.75,0.75,0.8,0.8,0.8,0.8,0.8
0,0,0,0,0,0,0,0,0,0.75,0.75,0.75,0.8,0.8,0.8,0.8,0.8
0,0,0,0,0,0,0,0,0.75,0.75,0.75,0.75,0.8,0.8,0.8,0.8,0.8
0,0,0,0,0,0,0,0.65,0.75,0.75,0.75,0.75,0.8,0.8,0.8,0.8,0.8
0,0,0,0,0,0,0.65,0.65,0.75,0.75,0.75,0.75,0.8,0.8,0.8,0.8,0.8
0,0,0,0,0,0.65,0.65,0.65,0.75,0.75,0.75,0.75,0.8,0.8,0.8,0.8,0.8
0,0,0,0,0.65,0.65,0.65,0.65,0.75,0.75,0.75,0.75,0.8,0.8,0.8,0.8,0.8
0,0,0,0.5,0.65,0.65,0.65,0.65,0.75,0.75,0.75,0.75,0.8,0.8,0.8,0.8,0.8
0,0,0.5,0.5,0.65,0.65,0.65,0.65,0.75,0.75,0.75,0.75,0.8,0.8,0.8,0.8,0.8
0,0.4,0.5,0.5,0.65,0.65,0.65,0.65,0.75,0.75,0.75,0.75,0.8,0.8,0.8,0.8,0.8
0,0.4,0.5,0.5,0.65,0.65,0.65,0.65,0.75,0.75,0.75,0.75,0.8,0.8,0.8,0.8,0.8
